url,in_swdb,SITE_URL,num_site_ids,account_ids,site_ids
quigleyeye.com,True,quigleyeye.com,10.0,289814;39007848;289814;34373960;289814;289814;34373960;37728397;289814;34373960,180249549;182236712;180303845;180012323;180370763;178063707;178678050;181193962;581517;176235724
qosina.com,True,qosina.com,2.0,1586278;1586278,41206252;1731161
dunnriteproducts.com,True,dunnriteproducts.com,1.0,2491424,1008160
zoskinhealth.com,True,zoskinhealth.com,5.0,2575561;2575561;2575561;2575561;2575561,245513;12181453;12119318;173183623;422367
payroll2u.com,True,payroll2u.com,1.0,20074087,22853672
bangkokair.com,True,bangkokair.com,1.0,8655380,12143225
bangkokair.com,True,bangkokair.com,2.0,24299686;24299686,35476513;179829224
crbrandsinc.com,True,crbrandsinc.com,1.0,1990261,2026724
yankeetrails.com,True,yankeetrails.com,1.0,1417811,1778946
heidelberg.com,True,heidelberg.com,8.0,3122095;4470958;3122095;3122095;3122095;3122095;38476778;3122095,2040295;7158962;2595810;767141;180069595;754919;182273241;1658227
heidelberg.com,True,heidelberg.com,1.0,2854421,2968541
heidelberg.com,True,heidelberg.com,18.0,3122095;3122095;3122095;3122095;14496779;3122095;3122095;3122095;3122095;3122095;34182939;3122095;3122095;3122095;3122095;3122095;3122095;3122095,182186784;25818033;25076813;46318623;26252873;182187729;33492951;42040395;24753350;32600717;33793663;23538507;33902637;23377447;181712640;29788524;179952517;177417418
wsisd.com,True,wsisd.com,15.0,2678321;2678321;2678321;2678321;2678321;2678321;2678321;2678321;2678321;2678321;2678321;2678321;2678321;2678321;2678321,174167686;6690305;173184220;173292311;174162069;174846822;2385277;173078476;173248648;173337197;173292310;173819417;45349377;173292305;174247852
amerplumb.com,True,amerplumb.com,1.0,2750630,1270126
rationalenterprise.com,True,rationalenterprise.com,2.0,1715082;1715082,7684665;1800468
lipsg.com,True,lipsg.com,5.0,1451475;1451475;1451475;1451475;1451475,180249707;1734991;178389923;36373039;178504661
empirecomfort.com,True,empirecomfort.com,1.0,1956886,866107
conver-pack.com,True,conver-pack.com,1.0,3064767,5328097
officebasics.com,True,officebasics.com,3.0,36964499;2121879;36964989,180384712;2142192;180381017
officebasics.com,True,officebasics.com,1.0,13697056,22934066
afcx.co,True,afcx.co,1.0,33062480,173159655
icgad.com,True,icgad.com,1.0,2001499,2004032
sentecgroup.com,True,sentecgroup.com,3.0,35369160;22635732;35369160,177366892;30215835;177323812
unidesign-jewel.com,True,unidesign-jewel.com,3.0,23042142;23042142;24904700,27383989;27367628;32113699
scpautomation.com,True,scpautomation.com,2.0,1614315;10915831,3100201;19589482
continentalserves.com,True,continentalserves.com,5.0,5511358;5511358;5511358;5511358;5511358,8392377;178675093;19419090;12373937;178671937
steris.com,True,steris.com,44.0,25979523;25979523;25979523;25979523;33081732;25979523;25979523;25979523;25979523;11117552;25979523;25979523;37714549;25979523;25979523;25979523;25979523;25979523;25979523;25979523;25979523;25979523;692687;25979523;25979523;25979523;25979523;25979523;33063519;25979523;25979523;25979523;25979523;25979523;25979523;25979523;25979523;25979523;1885088;25979523;25979523;25979523;25979523;25979523,178597228;1708401;1497750;44600228;173238860;178608437;573007;178259575;156009;19322573;252771;19260714;181200261;1481179;2455346;179999286;180110182;8678165;178859385;1968627;8679160;44941054;2049255;2610469;178420902;902093;5393510;1637007;173150994;193;2265721;1251773;178675664;178379410;2567494;949228;2385574;151582;887777;1630294;37815344;120389;1578015;37004343
steris.com,True,steris.com,1.0,25979523,3063547
steris.com,True,steris.com,3.0,19495987;34190205;15062756,31079893;25887093;24948113
sskb.com.au,True,sskb.com.au,12.0,10653391;10653391;10653391;10653391;10653391;10653391;10653391;10653391;10653391;11206032;10653391;18513643,23328254;18774552;18589721;23119470;18337230;18382095;18535647;18558369;29282186;18417275;31435524;44491746
foxsemicon.com,True,foxsemicon.com,4.0,6248553;6248553;6248553;6248553,196489;357530;2733651;386672
foxsemicon.com,True,foxsemicon.com,4.0,35495054;35495054;35495054;17728065,177379318;177549969;177420494;25875197
robson.com,True,robson.com,23.0,1339115;1018502;1339115;4328832;1290959;37706199;34104305;990714;38430562;1018502;1018502;1018502;38446195;1018502;1018502;170121;37729720;990714;1290959;465659;1018502;990714;1018502,56781;19925284;59103;7030338;17602777;181204220;174871745;178470767;181988765;178475431;2530806;49915;182240641;79286;95519;50837;181194345;10422453;19940606;63055;19395745;98028;36261493
spandex.com,True,spandex.com,2.0,3279501;3279501,23441422;23245228
mdgny.com,True,mdgny.com,4.0,33087483;10974011;38469768;2643741,173274399;19363918;182276982;174136753
jplegal.net,True,jplegal.net,1.0,170500,1882460
oldsproducts.com,True,oldsproducts.com,3.0,376264;376264;376264,2832393;174640124;2793894
parkerdevco.com,True,parkerdevco.com,3.0,4179646;525028;525028,168612;159475;295367
sautech.edu,True,sautech.edu,4.0,1508858;1508858;4283416;1508858,178734150;121337;6834066;99171
kumhotire.com,True,kumhotire.com,1.0,6242281,2008369
kumhotire.com,True,kumhotire.com,1.0,11100132,19523144
kumhotire.com,True,kumhotire.com,4.0,6252350;6242281;6252350;6252350,7605382;27803627;27291381;27910445
ancillae.org,True,ancillae.org,1.0,1005084,2148493
simson-maxwell.com,True,simson-maxwell.com,6.0,1705284;1705284;1705284;1705284;1705284;1705284,173278868;173463722;173281696;2866249;2848091;33941457
backyarddiscovery.com,True,backyarddiscovery.com,3.0,33046068;25984357;33967900,173152579;37694527;174628450
australianhearthealth.org.au,True,australianhearthealth.org.au,1.0,13057398,23369445
